file_name;solver;size;initial_value;final_value;elapsed_time;imp_value;instance_num;num_workers
dvnd_n4w4in34_5.out;dvnd;299;11463442;6860038;3.68079614639;1.67104642861;34;4
dvnd_n4w4in41_2.out;dvnd;501;33439101;1984782;8.96601915359;16.8477449916;41;4
dvnd_n4w4in1_89.out;dvnd;52;558778;142931;2.12154507637;3.90942482736;1;4
dvnd_n4w4in16_21.out;dvnd;130;3015132;350333;3.63875389099;8.60647441149;16;4
dvnd_n4w4in9_35.out;dvnd;100;9661842;975218;2.52692699432;9.90736635296;9;4
dvnd_n4w4in32_20.out;dvnd;264;9001996;5933427;3.62962985039;1.51716638631;32;4
dvnd_n4w4in46_18.out;dvnd;724;58705213;14610680;10.105713129;4.01796583047;46;4
dvnd_n4w4in25_0.out;dvnd;198;1735156;1193917;1.78519392014;1.4533305079;25;4
dvnd_n4w4in5_22.out;dvnd;99;92473;55564;1.48960399628;1.66426103232;5;4
dvnd_n4w4in50_17.out;dvnd;1002;140411101;126532183;6.48073792458;1.10968686125;50;4
dvnd_n4w4in2_72.out;dvnd;70;112766;19560;2.73172998428;5.76513292434;2;4
dvnd_n4w4in2_13.out;dvnd;70;112766;19739;2.60789179802;5.7128527281;2;4
dvnd_n4w4in0_81.out;dvnd;51;31378;9850;1.32448601723;3.18558375635;0;4
dvnd_n4w4in5_49.out;dvnd;99;92473;56509;1.39291000366;1.63642959529;5;4
dvnd_n4w4in19_34.out;dvnd;150;3868030;443538;4.78083992004;8.72085368108;19;4
dvnd_n4w4in3_36.out;dvnd;76;70576;17435;2.30760717392;4.04794952681;3;4
dvnd_n4w4in12_3.out;dvnd;101;111303;27609;2.27395606041;4.03140280343;12;4
dvnd_n4w4in3_34.out;dvnd;76;70576;17916;2.65447497368;3.93927215896;3;4
dvnd_n4w4in18_34.out;dvnd;144;6292213;3829458;1.96467900276;1.64310798029;18;4
dvnd_n4w4in5_68.out;dvnd;99;92473;56725;1.47106599808;1.63019832525;5;4
dvnd_n4w4in22_9.out;dvnd;152;12011325;5438660;3.01316595078;2.20850816194;22;4
dvnd_n4w4in4_14.out;dvnd;76;4247736;3431005;1.62376093864;1.23804424651;4;4
dvnd_n4w4in9_18.out;dvnd;100;9661842;977479;2.72680592537;9.8844496915;9;4
dvnd_n4w4in12_98.out;dvnd;101;111303;28073;2.16687083244;3.96477041998;12;4
dvnd_n4w4in38_25.out;dvnd;439;39111669;18636232;2.50333595276;2.09868974587;38;4
dvnd_n4w4in16_39.out;dvnd;130;3015132;351337;3.00723385811;8.58188007526;16;4
dvnd_n4w4in10_28.out;dvnd;100;7680080;1049230;2.48227000237;7.31972970655;10;4
dvnd_n4w4in21_91.out;dvnd;150;21691706;1897119;4.10956788063;11.434024961;21;4
dvnd_n4w4in19_99.out;dvnd;150;3868030;463015;3.63942694664;8.35400580975;19;4
dvnd_n4w4in15_78.out;dvnd;124;5587613;3411012;1.08980298042;1.6381100389;15;4
dvnd_n4w4in10_6.out;dvnd;100;7680080;1048349;2.61259198189;7.32588098048;10;4
dvnd_n4w4in9_45.out;dvnd;100;9661842;1048865;2.25667095184;9.21171170742;9;4
dvnd_n4w4in32_1.out;dvnd;264;9001996;5893205;3.96259593964;1.52752127238;32;4
dvnd_n4w4in39_6.out;dvnd;442;38630868;10541166;5.93665099144;3.66476232326;39;4
dvnd_n4w4in33_10.out;dvnd;280;392877;351461;1.86164999008;1.11783953269;33;4
dvnd_n4w4in10_48.out;dvnd;100;7680080;1057320;2.60319185257;7.26372337608;10;4
dvnd_n4w4in14_71.out;dvnd;107;2783881;2019148;1.01094198227;1.37874043904;14;4
dvnd_n4w4in5_46.out;dvnd;99;92473;56938;1.17842698097;1.62409989813;5;4
dvnd_n4w4in15_86.out;dvnd;124;5587613;3395790;1.40677309036;1.64545304627;15;4
dvnd_n4w4in36_7.out;dvnd;400;42523653;3004537;8.63873195648;14.1531467244;36;4
dvnd_n4w4in13_45.out;dvnd;105;1633632;613718;1.75541901588;2.66186098501;13;4
dvnd_n4w4in49_11.out;dvnd;1001;134792339;5525662;17.6439139843;24.3938805884;49;4
dvnd_n4w4in0_55.out;dvnd;51;31378;9815;1.58933591843;3.1969434539;0;4
dvnd_n4w4in4_6.out;dvnd;76;4247736;3389696;1.41688299179;1.25313184427;4;4
dvnd_n4w4in0_37.out;dvnd;51;31378;10151;1.54848599434;3.09112402719;0;4
dvnd_n4w4in6_18.out;dvnd;100;8670796;966440;3.19069290161;8.97189271967;6;4
dvnd_n4w4in7_69.out;dvnd;100;2560752;341324;2.38453888893;7.50240826898;7;4
dvnd_n4w4in39_13.out;dvnd;442;38630868;10490023;6.50149488449;3.68262948518;39;4
dvnd_n4w4in16_64.out;dvnd;130;3015132;344849;3.2166891098;8.7433398386;16;4
dvnd_n4w4in18_97.out;dvnd;144;6292213;3829398;1.42764306068;1.64313372494;18;4
dvnd_n4w4in11_88.out;dvnd;100;9554316;982956;2.7647562027;9.71998339702;11;4
dvnd_n4w4in19_35.out;dvnd;150;3868030;462771;3.69477796555;8.35841053134;19;4
dvnd_n4w4in11_14.out;dvnd;100;9554316;967933;3.40846800804;9.87084436629;11;4
dvnd_n4w4in26_11.out;dvnd;200;36800518;2781033;6.21733903885;13.2326793677;26;4
dvnd_n4w4in0_97.out;dvnd;51;31378;9803;1.9508459568;3.20085688055;0;4
dvnd_n4w4in48_19.out;dvnd;783;28536548;3410780;10.0325040817;8.36657538745;48;4
