"initial";"final";"count";"time";"imp";"inum";"n";"w";"type"
16801647;6348186;360;2.45903801918;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.98635911942;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.2889649868;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.2202899456;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3762800694;23.931378199050787;7;1;1;"dvnd"
558778;161132;68;1.16938614845;3.467827619591391;0;1;1;"dvnd"
8670796;999119;199;1.50549507141;8.678441707143994;1;1;1;"dvnd"
13437654;7193052;98;1.37213587761;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.43473005295;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.95926904678;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.30088806152;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.19718909264;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3995969296;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.228536129;3.939634081855677;0;1;1;"dvnd"
8670796;1008111;213;1.55613589287;8.601033021165328;1;1;1;"dvnd"
13437654;7193052;98;1.33000397682;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.4558570385;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.96161103249;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.3010020256;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.19622802734;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.4046509266;23.931378199050787;7;1;1;"dvnd"
558778;155008;130;1.34483218193;3.604833298926507;0;1;1;"dvnd"
8670796;1005671;170;1.43663811684;8.621901198304416;1;1;1;"dvnd"
13437654;7193052;98;1.33597707748;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.45554304123;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.97583699226;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.31854510307;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.19925713539;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3370890617;23.931378199050787;7;1;1;"dvnd"
558778;152371;82;1.22533917427;3.6672201403154143;0;1;1;"dvnd"
8670796;1013471;180;1.46784710884;8.55554426323003;1;1;1;"dvnd"
13437654;7193052;98;1.33135604858;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.45137310028;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.95027780533;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.29786705971;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.18806815147;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.35780406;23.931378199050787;7;1;1;"dvnd"
558778;141835;95;1.26067900658;3.939634081855677;0;1;1;"dvnd"
8670796;999543;198;1.49597096443;8.674760365487028;1;1;1;"dvnd"
13437654;7193052;98;1.34320998192;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.43272399902;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.97180199623;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.31252908707;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.1890630722;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3954329491;23.931378199050787;7;1;1;"dvnd"
558778;140446;100;1.24918603897;3.978596756048588;0;1;1;"dvnd"
8670796;999119;199;1.49114108086;8.678441707143994;1;1;1;"dvnd"
13437654;7193052;98;1.36619114876;1.8681435918995164;2;1;1;"dvnd"
16801647;6348186;360;2.44554185867;2.6466847379708156;3;1;1;"dvnd"
33439101;2035647;621;3.94970989227;16.426768000542335;4;1;1;"dvnd"
83873134;14839297;696;6.30032801628;5.652096187575463;5;1;1;"dvnd"
28536548;3440779;773;9.21445512772;8.29363001808602;6;1;1;"dvnd"
134792339;5632452;1244;22.3773858547;23.931378199050787;7;1;1;"dvnd"
558778;142568;88;1.21809911728;3.91937882273722;0;1;1;"dvnd"
8670796;1034332;172;1.44459104538;8.382991147909955;1;1;1;"dvnd"
13437654;7193052;98;1.33938503265;1.8681435918995164;2;1;1;"dvnd"
